CAPTL_WF,CATHROCK
0.0,0.647121197
0.0,0.639393894
0.0,0.646212091
0.0,0.53484847
0.0,0.353030288
0.0,0.440909061
0.0,0.506060576
0.0,0.498030288
0.0,0.431666636
0.0,0.318484833
0.0,0.283787879
0.0,0.273636348
0.0,0.220606045
0.0,0.235909076
0.0,0.314999985
0.0,0.261969682
0.0,0.382878773
0.0,0.295151515
0.0,0.251969682
0.0,0.223787879
0.0,0.172121212
0.0,0.136212121
0.0,0.17045453
0.0,0.116515152
0.0,0.081363636
0.0,0.088484848
0.0,0.077121212
0.0,0.082121212
0.0,0.081212121
0.0,0.064545455
0.0,0.063484848
0.0,0.058181818
0.0,0.047727273
0.0,0.041060606
0.0,0.067727273
0.0,0.116363621
0.0,0.394242409
0.0,0.51499997
0.0,0.500606015
0.0,0.4801515
0.0,0.514696924
0.0,0.433333303
0.0,0.422272712
0.0,0.461060576
0.0,0.440303
0.0,0.436515121
0.0,0.448030273
0.0,0.432575742
0.0,0.396212091
0.0,0.424545439
0.0,0.423939364
0.042142814,0.374393924
0.013142829,0.360909061
0.057571414,0.366060576
0.048200007,0.340303015
0.0,0.280909076
0.0,0.225909076
0.0,0.165909091
0.050057114,0.122727258
0.056628529,0.128484848
0.052914321,0.110757561
0.042142814,0.117575758
0.0,0.121363621
0.0,0.104696955
0.0,0.126515136
0.0,0.113939394
0.0,0.101969697
0.0,0.108939394
0.0,0.147424242
0.0,0.258484833
0.0,0.347272697
0.0,0.321969667
0.0,0.304999985
0.0,0.316515136
0.0,0.266818167
0.0,0.2101515
0.0,0.204696955
0.0,0.150757576
0.0,0.127575742
0.0,0.076515152
0.0,0.030151515
0.0,0.036666667
0.0,0.088030288
0.0,0.126363621
0.0,0.255
0.0,0.292727273
0.0,0.293939394
0.0,0.211666652
0.0,0.3451515
0.0,0.248181803
0.0,0.210909076
0.0,0.097727273
0.0,0.058787879
0.0,0.032575758
0.0,0.023484848
0.0,0.067575758
0.0,0.076969697
0.0,0.082878788
0.0,0.177727273
0.0,0.158333333
0.0,0.141363636
0.0,0.198181803
0.0,0.164999985
0.0,0.152727258
0.0,0.053939394
